question,answer
How many times does the letter 'a' appear in the word 'optimal'?,1
How many times does the letter 'n' appear in the word 'ion'?,1
How many times does the letter 'n' appear in the word 'coins'?,1
How many times does the letter 'a' appear in the word 'jackie'?,1
How many times does the letter 't' appear in the word 'informative'?,1
How many times does the letter 'n' appear in the word 'owns'?,1
How many times does the letter 'e' appear in the word 'aspnet'?,1
How many times does the letter 's' appear in the word 'lists'?,2
How many times does the letter 'g' appear in the word 'page'?,1
How many times does the letter 'a' appear in the word 'apartment'?,2
How many times does the letter 'p' appear in the word 'dp'?,1
How many times does the letter 'r' appear in the word 'representation'?,2
How many times does the letter 'l' appear in the word 'look'?,1
How many times does the letter 'e' appear in the word 'milfhunter'?,1
How many times does the letter 'g' appear in the word 'guide'?,1
How many times does the letter 'b' appear in the word 'noble'?,1
How many times does the letter 's' appear in the word 'assessed'?,4
How many times does the letter 'l' appear in the word 'xl'?,1
How many times does the letter 'c' appear in the word 'protected'?,1
How many times does the letter 'l' appear in the word 'silent'?,1
How many times does the letter 'o' appear in the word 'wow'?,1
How many times does the letter 's' appear in the word 'custom'?,1
How many times does the letter 'i' appear in the word 'intervention'?,2
How many times does the letter 't' appear in the word 'vat'?,1
How many times does the letter 's' appear in the word 'knowledgestorm'?,1
How many times does the letter 'w' appear in the word 'www'?,3
How many times does the letter 's' appear in the word 'considers'?,2
How many times does the letter 'a' appear in the word 'smaller'?,1
How many times does the letter 'a' appear in the word 'phantom'?,1
How many times does the letter 'o' appear in the word 'technology'?,2
How many times does the letter 'a' appear in the word 'always'?,2
How many times does the letter 'i' appear in the word 'diy'?,1
How many times does the letter 'i' appear in the word 'interim'?,2
How many times does the letter 's' appear in the word 'knows'?,1
How many times does the letter 'a' appear in the word 'southampton'?,1
How many times does the letter 's' appear in the word 'famous'?,1
How many times does the letter 't' appear in the word 'merit'?,1
How many times does the letter 'a' appear in the word 'aka'?,2
How many times does the letter 'o' appear in the word 'groups'?,1
How many times does the letter 'h' appear in the word 'physics'?,1
How many times does the letter 'i' appear in the word 'mediterranean'?,1
How many times does the letter 'e' appear in the word 'acceptance'?,2
How many times does the letter 'i' appear in the word 'specialties'?,2
How many times does the letter 'e' appear in the word 'charitable'?,1
How many times does the letter 'i' appear in the word 'typically'?,1
How many times does the letter 'c' appear in the word 'access'?,2
How many times does the letter 'e' appear in the word 'jose'?,1
How many times does the letter 'w' appear in the word 'findlaw'?,1
How many times does the letter 'o' appear in the word 'colonial'?,2
How many times does the letter 'a' appear in the word 'data'?,2
How many times does the letter 'u' appear in the word 'futures'?,2
How many times does the letter 'o' appear in the word 'sole'?,1
How many times does the letter 'l' appear in the word 'landscape'?,1
How many times does the letter 'r' appear in the word 'showers'?,1
How many times does the letter 'y' appear in the word 'enjoyed'?,1
How many times does the letter 'u' appear in the word 'secure'?,1
How many times does the letter 'i' appear in the word 'enquiry'?,1
How many times does the letter 'w' appear in the word 'wallet'?,1
How many times does the letter 'd' appear in the word 'dick'?,1
How many times does the letter 'd' appear in the word 'directors'?,1
How many times does the letter 'e' appear in the word 'bubble'?,1
How many times does the letter 's' appear in the word 'self'?,1
How many times does the letter 'm' appear in the word 'nottingham'?,1
How many times does the letter 'a' appear in the word 'actual'?,2
How many times does the letter 'n' appear in the word 'canberra'?,1
How many times does the letter 's' appear in the word 'sir'?,1
How many times does the letter 't' appear in the word 'draft'?,1
How many times does the letter 's' appear in the word 'wellness'?,2
How many times does the letter 'o' appear in the word 'operate'?,1
How many times does the letter 'e' appear in the word 'eddie'?,2
How many times does the letter 'l' appear in the word 'luke'?,1
How many times does the letter 'b' appear in the word 'basics'?,1
How many times does the letter 's' appear in the word 'follows'?,1
How many times does the letter 'd' appear in the word 'educated'?,2
How many times does the letter 'e' appear in the word 'elections'?,2
How many times does the letter 'g' appear in the word 'sing'?,1
How many times does the letter 'h' appear in the word 'bitch'?,1
How many times does the letter 'p' appear in the word 'plane'?,1
How many times does the letter 's' appear in the word 'stuck'?,1
How many times does the letter 'n' appear in the word 'continuing'?,3
How many times does the letter 't' appear in the word 'titled'?,2
How many times does the letter 'd' appear in the word 'bind'?,1
How many times does the letter 'n' appear in the word 'magnificent'?,2
How many times does the letter 'l' appear in the word 'glasses'?,1
How many times does the letter 's' appear in the word 'muscle'?,1
How many times does the letter 'e' appear in the word 'evaluating'?,1
How many times does the letter 'c' appear in the word 'facial'?,1
How many times does the letter 'l' appear in the word 'endless'?,1
How many times does the letter 'r' appear in the word 'throwing'?,1
How many times does the letter 's' appear in the word 'sad'?,1
How many times does the letter 'e' appear in the word 'remarkable'?,2
How many times does the letter 'e' appear in the word 'security'?,1
How many times does the letter 't' appear in the word 'trigger'?,1
How many times does the letter 'm' appear in the word 'boom'?,1
How many times does the letter 'e' appear in the word 'events'?,2
How many times does the letter 'd' appear in the word 'gender'?,1
How many times does the letter 'n' appear in the word 'transparent'?,2
How many times does the letter 's' appear in the word 'satisfactory'?,2
How many times does the letter 'r' appear in the word 'resorts'?,2
How many times does the letter 'i' appear in the word 'rapid'?,1
How many times does the letter 'g' appear in the word 'bangkok'?,1
How many times does the letter 'i' appear in the word 'latin'?,1
How many times does the letter 'e' appear in the word 'keyword'?,1
How many times does the letter 'i' appear in the word 'shipments'?,1
How many times does the letter 'w' appear in the word 'powered'?,1
How many times does the letter 'c' appear in the word 'cradle'?,1
How many times does the letter 'o' appear in the word 'complications'?,2
How many times does the letter 'n' appear in the word 'scanned'?,2
How many times does the letter 't' appear in the word 'township'?,1
How many times does the letter 'e' appear in the word 'deaths'?,1
How many times does the letter 'u' appear in the word 'measures'?,1
How many times does the letter 'o' appear in the word 'poems'?,1
How many times does the letter 'g' appear in the word 'guild'?,1
How many times does the letter 'e' appear in the word 'breast'?,1
How many times does the letter 'n' appear in the word 'surround'?,1
How many times does the letter 'd' appear in the word 'handles'?,1
How many times does the letter 's' appear in the word 'rights'?,1
How many times does the letter 'e' appear in the word 'bangladesh'?,1
How many times does the letter 'd' appear in the word 'debt'?,1
How many times does the letter 'y' appear in the word 'hardly'?,1
How many times does the letter 'a' appear in the word 'ranch'?,1
How many times does the letter 'h' appear in the word 'ho'?,1
How many times does the letter 'm' appear in the word 'seem'?,1
How many times does the letter 'a' appear in the word 'netherlands'?,1
How many times does the letter 'f' appear in the word 'farmers'?,1
How many times does the letter 'r' appear in the word 'irc'?,1
How many times does the letter 'l' appear in the word 'feels'?,1
How many times does the letter 'h' appear in the word 'harrison'?,1
How many times does the letter 'n' appear in the word 'traditions'?,1
How many times does the letter 'n' appear in the word 'burn'?,1
How many times does the letter 'i' appear in the word 'original'?,2
How many times does the letter 't' appear in the word 'estimates'?,2
How many times does the letter 'e' appear in the word 'are'?,1
How many times does the letter 'w' appear in the word 'moscow'?,1
How many times does the letter 'i' appear in the word 'singh'?,1
How many times does the letter 'e' appear in the word 'usage'?,1
How many times does the letter 'd' appear in the word 'activated'?,1
How many times does the letter 'a' appear in the word 'places'?,1
How many times does the letter 'g' appear in the word 'charging'?,2
How many times does the letter 'l' appear in the word 'talent'?,1
How many times does the letter 't' appear in the word 'adaptor'?,1
How many times does the letter 'y' appear in the word 'sally'?,1
How many times does the letter 't' appear in the word 'penetration'?,2
How many times does the letter 'c' appear in the word 'accept'?,2
How many times does the letter 't' appear in the word 'scott'?,2
How many times does the letter 't' appear in the word 'potatoes'?,2
How many times does the letter 'p' appear in the word 'map'?,1
How many times does the letter 'b' appear in the word 'bosnia'?,1
How many times does the letter 'f' appear in the word 'cardiff'?,2
How many times does the letter 'g' appear in the word 'jaguar'?,1
How many times does the letter 'a' appear in the word 'nicaragua'?,3
How many times does the letter 'i' appear in the word 'nominated'?,1
How many times does the letter 'a' appear in the word 'geographical'?,2
How many times does the letter 't' appear in the word 'stan'?,1
How many times does the letter 'l' appear in the word 'longer'?,1
How many times does the letter 'e' appear in the word 'present'?,2
How many times does the letter 'w' appear in the word 'lowest'?,1
How many times does the letter 'c' appear in the word 'acc'?,2
How many times does the letter 'n' appear in the word 'miniature'?,1
How many times does the letter 'i' appear in the word 'il'?,1
How many times does the letter 'm' appear in the word 'academics'?,1
How many times does the letter 'g' appear in the word 'hiring'?,1
How many times does the letter 'e' appear in the word 'requests'?,2
How many times does the letter 'c' appear in the word 'bacterial'?,1
How many times does the letter 'o' appear in the word 'cooking'?,2
How many times does the letter 'a' appear in the word 'acts'?,1
How many times does the letter 'r' appear in the word 'waiver'?,1
How many times does the letter 't' appear in the word 'territories'?,2
How many times does the letter 'r' appear in the word 'services'?,1
How many times does the letter 's' appear in the word 'cumshots'?,2
How many times does the letter 'd' appear in the word 'blend'?,1
How many times does the letter 'r' appear in the word 'urls'?,1
How many times does the letter 'p' appear in the word 'protocol'?,1
How many times does the letter 't' appear in the word 'port'?,1
How many times does the letter 'a' appear in the word 'analyst'?,2
How many times does the letter 'l' appear in the word 'alpha'?,1
How many times does the letter 'd' appear in the word 'discussing'?,1
How many times does the letter 'k' appear in the word 'think'?,1
How many times does the letter 'e' appear in the word 'influence'?,2
How many times does the letter 'a' appear in the word 'nasty'?,1
How many times does the letter 'i' appear in the word 'sophisticated'?,2
How many times does the letter 's' appear in the word 'es'?,1
How many times does the letter 'm' appear in the word 'missions'?,1
How many times does the letter 't' appear in the word 'gotten'?,2
How many times does the letter 'i' appear in the word 'marina'?,1
How many times does the letter 'c' appear in the word 'secret'?,1
How many times does the letter 'e' appear in the word 'athletics'?,1
How many times does the letter 'a' appear in the word 'rarely'?,1
How many times does the letter 'd' appear in the word 'detective'?,1
How many times does the letter 'y' appear in the word 'away'?,1
How many times does the letter 'o' appear in the word 'sponsors'?,2
How many times does the letter 'e' appear in the word 'easy'?,1
How many times does the letter 'o' appear in the word 'horror'?,2
How many times does the letter 't' appear in the word 'efficient'?,1
How many times does the letter 'f' appear in the word 'shelf'?,1
